,time,ax,ay,az,gx,gy,gz
0,13027.745660689,0.013,0.001,-0.98,0.018,0.052,-0.035
1,13027.752458853,0.011,0.001,-0.978,0.49,0.0,-0.157
2,13027.759196337,0.013,0.001,-0.976,0.21,0.07,-0.087
3,13027.765931373,0.01,0.0,-0.98,0.35,-0.018,-0.123
4,13027.772667763,0.015,0.003,-0.976,0.35,-0.035,-0.175
5,13027.779402448,0.011,0.001,-0.981,0.42,-0.07,-0.035
6,13027.786135007,0.01,0.0,-0.978,0.368,0.0,-0.105
7,13027.792867022,0.01,0.005,-0.98,0.437,0.087,-0.105
8,13027.799599248,0.012,0.002,-0.981,0.262,0.087,-0.07
9,13027.806331075,0.01,0.001,-0.979,0.35,0.018,-0.105
10,13027.813064144,0.009,0.001,-0.979,0.315,0.035,-0.087
11,13027.819796562,0.013,0.002,-0.981,0.245,0.0,-0.123
12,13027.826528708,0.012,0.002,-0.979,0.35,0.035,-0.087
13,13027.83326176,0.013,-0.0,-0.978,0.28,0.018,-0.14
14,13027.83999514,0.01,-0.001,-0.98,0.455,0.087,-0.123
15,13027.846728027,0.014,-0.0,-0.981,0.245,0.087,-0.105
16,13027.853461091,0.01,-0.0,-0.98,0.28,0.14,-0.157
17,13027.860193925,0.01,0.001,-0.981,0.245,-0.018,-0.14
18,13027.86692526,0.012,0.003,-0.981,0.298,0.0,-0.105
19,13027.873657748,0.009,0.003,-0.98,0.21,0.07,-0.123
20,13027.880391176,0.013,-0.003,-0.977,0.105,0.035,-0.052
21,13027.88712225,0.012,0.002,-0.979,0.455,0.07,-0.087
22,13027.893855016,0.013,-0.001,-0.981,0.403,0.07,-0.123
23,13027.900587822,0.01,0.002,-0.979,0.245,0.0,-0.105
24,13027.907413722,0.011,0.003,-0.979,0.333,0.035,-0.245
25,13027.914151716,0.01,0.002,-0.98,0.385,0.123,-0.14
26,13027.920891167,0.012,-0.001,-0.98,0.315,0.0,-0.157
27,13027.927626293,0.011,0.003,-0.981,0.437,0.052,-0.07
28,13027.934366785,0.01,0.002,-0.98,0.21,0.052,-0.245
29,13027.941103513,0.013,0.002,-0.98,0.403,0.0,-0.07
30,13027.947835726,0.009,0.001,-0.98,0.368,0.052,-0.105
31,13027.95456715,0.013,0.003,-0.982,0.157,0.07,-0.052
32,13027.961299948,0.011,0.002,-0.979,0.385,0.0,-0.14
33,13027.968031892,0.011,0.001,-0.979,0.105,0.018,-0.157
34,13027.974764028,0.011,0.0,-0.981,0.42,0.052,-0.14
35,13027.981495856,0.012,0.003,-0.98,0.333,0.018,-0.157
36,13027.988245234,0.01,0.0,-0.979,0.368,-0.018,-0.14
37,13027.994978561,0.01,0.0,-0.98,0.385,0.035,-0.14
38,13028.001710577,0.013,0.001,-0.982,0.21,0.035,-0.157
39,13028.008442581,0.012,0.0,-0.981,0.385,0.0,-0.07
40,13028.015176001,0.009,0.002,-0.979,0.437,-0.018,-0.087
41,13028.021907638,0.01,0.003,-0.98,0.35,0.0,-0.14
42,13028.028652413,0.012,0.0,-0.98,0.14,-0.052,0.0
43,13028.035387842,0.01,0.001,-0.981,0.315,0.052,-0.123
44,13028.042119744,0.01,0.0,-0.981,0.403,0.0,-0.035
45,13028.048854111,0.013,-0.001,-0.981,0.315,0.0,-0.14
46,13028.05558583,0.013,0.0,-0.98,0.403,0.018,-0.105
47,13028.062318184,0.012,0.002,-0.978,0.315,0.14,-0.157
48,13028.069051402,0.011,0.003,-0.98,0.228,-0.035,-0.21
49,13028.075782265,0.011,0.001,-0.98,0.403,0.0,-0.14
50,13028.08251452,0.009,0.001,-0.98,0.333,0.035,-0.035
51,13028.089245706,0.01,0.001,-0.977,0.42,0.035,-0.123
52,13028.095975999,0.01,0.001,-0.979,0.28,0.0,-0.052
53,13028.102712405,0.01,0.002,-0.98,0.35,0.035,-0.14
54,13028.109443781,0.01,0.002,-0.979,0.525,0.07,-0.175
55,13028.116175175,0.01,0.001,-0.98,0.315,0.018,-0.14
56,13028.122907485,0.012,0.001,-0.98,0.192,-0.035,-0.052
57,13028.129641184,0.011,0.001,-0.981,0.368,0.052,-0.14
58,13028.13637306,0.01,0.004,-0.978,0.245,0.035,-0.07
59,13028.143103608,0.012,0.0,-0.979,0.368,0.07,0.018
60,13028.14983401,0.01,0.001,-0.982,0.21,0.052,-0.123
61,13028.156565155,0.011,0.004,-0.978,0.385,0.018,-0.123
62,13028.163297562,0.009,-0.001,-0.98,0.298,0.018,-0.105
63,13028.170029064,0.011,0.001,-0.982,0.333,0.105,-0.123
64,13028.176759975,0.01,0.002,-0.979,0.42,0.07,-0.035
65,13028.183491083,0.011,0.002,-0.978,0.368,0.018,-0.087
66,13028.19022138,0.01,0.0,-0.98,0.262,0.035,-0.07
67,13028.196951381,0.01,0.002,-0.979,0.385,0.052,-0.052
68,13028.203683256,0.011,0.001,-0.979,0.368,0.035,-0.175
69,13028.210413067,0.012,0.004,-0.98,0.192,0.052,-0.087
70,13028.217144381,0.01,0.001,-0.981,0.298,0.018,-0.175
71,13028.223876042,0.01,-0.001,-0.981,0.368,0.087,-0.157
72,13028.230608171,0.011,0.002,-0.98,0.385,-0.035,-0.052
73,13028.237338524,0.012,0.0,-0.982,0.315,0.087,-0.14
74,13028.244069887,0.01,0.002,-0.979,0.087,-0.018,-0.087
75,13028.250800927,0.009,0.001,-0.978,0.385,0.018,-0.07
76,13028.257532278,0.012,0.003,-0.981,0.28,-0.018,-0.105
77,13028.264264585,0.01,0.003,-0.98,0.298,0.035,-0.07
78,13028.270997924,0.009,0.001,-0.98,0.315,0.035,-0.035
79,13028.277728948,0.011,0.002,-0.98,0.35,0.018,-0.14
80,13028.284461169,0.011,0.003,-0.977,0.385,0.035,-0.07
81,13028.291192494,0.009,0.0,-0.98,0.228,0.087,-0.123
82,13028.297922957,0.012,0.002,-0.977,0.262,0.052,-0.123
83,13028.304653383,0.01,0.001,-0.977,0.21,0.105,-0.21
84,13028.311386117,0.012,-0.001,-0.98,0.437,-0.018,-0.14
85,13028.31811661,0.011,0.002,-0.979,0.35,0.035,-0.123
86,13028.324849203,0.014,0.001,-0.98,0.262,0.035,-0.157
87,13028.33158258,0.013,-0.003,-0.98,0.175,-0.035,-0.07
88,13028.338311928,0.015,0.001,-0.984,0.49,0.0,-0.052
89,13028.345043898,0.004,0.005,-0.982,0.437,-0.157,-0.123
90,13028.351771784,0.011,0.002,-0.978,0.525,0.0,0.0
91,13028.358504722,0.009,0.002,-0.98,-0.368,-0.157,-0.052
92,13028.365238205,0.011,0.003,-0.979,-0.105,-0.28,-0.052
93,13028.371969164,0.017,0.003,-0.976,1.12,0.018,-0.123
94,13028.378704999,0.013,-0.0,-0.988,0.77,-0.175,-0.14
95,13028.385447846,0.007,0.005,-0.978,0.157,0.157,-0.14
96,13028.392182072,0.004,0.001,-0.977,0.333,-0.087,-0.157
97,13028.398922595,0.016,0.002,-0.979,0.35,0.018,-0.07
98,13028.405652077,0.01,0.0,-0.978,0.49,0.07,-0.14
99,13028.412384663,0.009,0.002,-0.977,0.175,-0.035,-0.123
100,13028.419113395,0.009,0.002,-0.979,0.28,0.0,0.052
101,13028.425844397,0.013,0.001,-0.983,0.245,0.018,-0.157
102,13028.432573136,0.011,0.0,-0.98,0.018,0.07,0.07
103,13028.439309082,0.006,-0.0,-0.976,-0.21,0.087,-0.105
104,13028.44604118,0.009,0.006,-0.977,-0.018,0.052,-0.035
105,13028.452771699,0.011,0.005,-0.983,0.805,0.192,-0.087
106,13028.459503802,0.013,0.002,-0.976,0.105,-0.14,-0.052
107,13028.466238385,0.093,-0.519,-0.989,22.347,-2.328,8.977
108,13028.472973367,-0.01,0.128,-1.033,-26.897,4.742,19.145
109,13028.479707909,0.062,-0.367,-1.05,-52.08,4.077,-1.312
110,13028.48645097,0.542,-0.391,-1.169,-101.99,-12.355,45.08
111,13028.493180765,0.217,0.061,-0.965,6.213,1.872,-3.185
112,13028.499915702,-0.005,-0.047,-1.003,-10.203,0.822,0.0
113,13028.506648412,0.02,0.021,-0.98,-1.54,-0.35,-0.717
114,13028.513381374,0.016,-0.011,-0.984,0.683,-0.105,-1.312
115,13028.520110997,0.009,0.024,-0.985,0.543,0.07,-1.523
116,13028.526983317,0.013,0.005,-0.979,0.437,0.052,-0.07
117,13028.54630318,0.011,0.007,-0.981,0.403,0.07,-0.07
118,13028.596326901,0.011,0.007,-0.978,0.385,0.087,-0.175
119,13028.646350285,0.01,0.006,-0.981,0.368,0.087,-0.052
120,13028.696360006,0.013,0.004,-0.979,0.298,-0.035,-0.07
121,13028.746384089,0.01,0.006,-0.977,0.35,0.07,-0.123
122,13028.796358017,0.01,0.007,-0.982,0.315,-0.052,-0.175
123,13028.846542866,0.01,0.005,-0.979,0.437,0.018,-0.035
124,13028.896416772,0.011,0.003,-0.978,0.385,0.07,-0.105
125,13028.94640535,0.012,0.005,-0.978,0.42,0.07,-0.123
126,13028.996416204,0.012,0.005,-0.981,0.262,0.018,-0.123
127,13029.04638049,0.01,0.006,-0.981,0.35,0.052,-0.123
128,13029.096418133,0.013,0.006,-0.98,0.42,0.018,-0.157
129,13029.146378775,0.01,0.005,-0.979,0.333,0.018,-0.123
130,13029.196505229,0.01,0.006,-0.978,0.315,0.052,-0.087
131,13029.246388844,0.012,0.007,-0.981,0.403,0.035,-0.228
132,13029.296457726,0.009,0.008,-0.978,0.315,0.018,-0.21
133,13029.346446181,0.012,0.007,-0.98,0.333,0.087,-0.157
134,13029.396447179,0.011,0.007,-0.981,0.28,0.035,-0.14
135,13029.44645944,0.011,0.006,-0.977,0.455,-0.018,-0.192
